[53028,55939,59009,62248,65664,69269,0,0,0,0,0,0,0,0,0]
[73071,77081,81312,85775,90483,94742,99202,103871,108760,113879,0,0,0,0,0]
[119240,124852,130729,136882,143325,154536,166624,179657,193710,208861,0,0,0,0,0]
[225198,242813,261806,282284,304364,328171,353841,381518,411360,443536,478229,515635,555968,599455,646344]
[0.08,0.08, 0.08,0.08,0.08, 0.08,0.08,0.08, 0.08,0.08,
 0.02, 0.02,0.02,0.02, 0.02,0.02,0.02, 0.02,0.02,0.02]
[541132,560104,579075,598047,617019,635991,0,0,0,0,0,0,0,0,0]
[654962,673934,692906,711877,730849,749821,768792,787764,806736,825708,0,0,0,0,0]
[844679,863651,882623,901594,920566,939538,958509,977481,996453,1015425,0,0,0,0,0]
[1034396,1053368,1072340,1091311,1110283,1129255,1148226,1167198,1186170,1205142,1224113,1243085,1262057,1281028,1300000]

